ITEM_CODE,Nama Stok,Kategori,Unit Simpan,Conversion,Min Threshold,Critical Threshold,Status,Nota
ST-PLANTA,Roti Planta,Roti,Bag/Pcs,1 Bag = 20 pcs,,,Active,Produk buatan kilang Roti Planta; digunakan oleh menu POS Roti Kaya
ST-KELAPA,Roti Kelapa,Roti,Bag/Pcs,1 Bag = 28 pcs,,,Active,Stok roti asas menu Roti Kelapa
ST-KACANG,Roti Kacang,Roti,Bag/Pcs,1 Bag = 24 pcs,,,Active,Stok roti asas menu Roti Kacang
ST-BENGGALI,Roti Benggali,Roti,Bag/Pcs,1 Bag = 2 pcs,,,Active,Stok roti asas menu Roti Benggali
ST-KAYA,Kaya,Bahan,Tong/Kg/Gram,1 Tong = 5kg = 5000g,,,Active,
ST-BUTTER,Butter,Bahan,Tong/Kg/Gram,1 Tong = 4.8kg = 4800g,,,Active,
ST-PLASTIC-S,Plastic Small,Packaging,Pack/Pcs,1 Pack = 100 pcs,,,Active,Packaging — kekal (BOM jualan)
ST-PLASTIC-M,Plastic Medium,Packaging,Pack/Pcs,1 Pack = 100 pcs,,,Active,Packaging — kekal (BOM jualan)
ST-PLASTIC-B,Plastic Big,Packaging,Pack/Pcs,1 Pack = 100 pcs,,,Active,Packaging — kekal (BOM jualan)
